count,hate_speech_count,offensive_language_count,neither_count,class,tweet
3,0,0,3,2, rt  as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
3,0,3,0,1, rt  boy dats coldtyga dwn bad for cuffin dat hoe in the st place
3,0,3,0,1, rt  dawg rt  you ever fuck a bitch and she start to cry you be confused as shit
3,0,2,1,1, rt   she look like a tranny
6,0,6,0,1, rt  the shit you hear about me might be true or it might be faker than the bitch who told it to ya 
3,1,2,0,1, the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 
3,0,3,0,1, i can not just sit up and hate on another bitch  i got too much shit going on
3,0,3,0,1, cause im tired of you big bitches coming for us skinny girls
3,0,3,0,1, amp you might not get ya bitch back amp thats that 
3,1,2,0,1,"  hobbies include fighting mariam

bitch"
3,0,3,0,1, keeks is a bitch she curves everyone  lol i walked into a conversation like this smh
3,0,3,0,1, murda gang bitch its gang land 
3,0,2,1,1, so hoes that smoke are losers   yea  go on ig
3,0,3,0,1, bad bitches is the only thing that i like 
3,1,2,0,1, bitch get up off me 
3,0,3,0,1, bitch nigga miss me with it 
3,0,3,0,1, bitch plz whatever 
3,1,2,0,1, bitch who do you love 
3,0,3,0,1, bitches get cut off everyday b 
3,0,3,0,1, black bottle amp a bad bitch 
3,0,3,0,1, broke bitch cant tell me nothing 
3,0,3,0,1, cancel that bitch like nino 
3,0,3,0,1, cant you see these hoes wont change 
3,0,3,0,1, fuck no that bitch dont even suck dick   the kermit videos bout to fuck ig up
3,0,3,0,1, got ya bitch tip toeing on my hardwood floors   
3,0,2,1,1, her pussy lips like heaven doors  
3,0,3,0,1, hoe what its hitting for 
3,0,3,0,1, i met that pussy on ocean dr  i gave that pussy a pill  
3,0,3,0,1, i need a trippy bitch who fuck on hennessy 
3,0,3,0,1, i spend my money how i want bitch its my business 
3,0,3,0,1, i txt my old bitch my new bitch pussy wetter 
3,0,3,0,1, id say im back to the old me but my old bitches would get excited  
3,0,3,0,1, if you aint bout that murder game pussy nigga shut up 
3,0,3,0,1, if youre toes aint done you pussy stinks 
3,0,3,0,1, im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that 
3,0,3,0,1, is that ya bitch 
3,0,3,0,1, it aint nothing to cut a bitch off 
3,0,3,0,1, jus meet son now he ya mane ass bitches  shots
3,0,2,1,1, lames crying over hoes thats tears of a clown 
3,0,3,0,1, like snoop said in  we dont love these hoes 
3,0,1,2,2, momma said no pussy cats inside my doghouse 
3,0,3,0,1, most hated but the hoes favorite  mw sevenone  
3,0,3,0,1, nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick 
3,0,3,0,1, pimps up pimps up hoes down  future voice
3,0,3,0,1, post a picture of that pussy get  likes 
3,0,3,0,1, pussy is a powerful drug   happyhumpday 
3,0,3,0,1, quick piece of pussy call it a drive by 
3,0,3,0,1, running round here like some brand new pussy thats bout to get fucked 
3,0,3,0,1, these bitches even worst theyll send them guys for you 
3,1,2,0,1, these hoes like niggas that spend money not talk bout it 
3,1,2,0,1, we dont trust these niggas all these bitches 
3,0,3,0,1, yall niggas b cuffing hoes cause yall aint never have bitches 
3,0,3,0,1, you dodge a bullet    all da bitches i cut off pregnant or bound to be thank god 
3,0,3,0,1, young pill chamberlain these bitches love my music 
3,0,2,1,1, teanna trump probably cleaner than most of these twitter hoes but
3,0,3,0,1, gay niggas couldnt wait to act like bitches tonight
3,0,3,0,1, and ima steal his cat n replace it with a pitbull  rt   he a bitch you should do it
3,0,3,0,1,amp hes gone always be a hoe
3,0,3,0,1,"son of a bitch took my tic tacs

i like this movie"
3,0,3,0,1,all i wanna do is get money and fuck model bitches  russell simmons
3,0,2,1,1, i probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers retweet
3,0,3,0,1, im a fucking fag they said
3,0,3,0,1, females think dating a pussy is cute now  how does doing this stuff make him a pussy
3,0,0,3,2, simplyaddictedtoguys  woof woof hot scally lad
3,0,3,0,1, have ya ever asked your bitch for other bitches  kanye voice yes
3,0,3,0,1, how u gone bring ur side bitch to a game where you know ya gf friends at   i swear
3,0,1,2,2,  woof woof and hot soles
3,0,1,2,2, lemmie eat a oreo amp do these dishes one oreo lol
3,0,3,0,1,   bitch fuck u  maybe youll get better just 
3,1,2,0,1, fuck red malone man bitch ass niggah could you please use complete sentences
3,0,0,3,2, why the eggplant emoji doey he say she looked like scream lmao
3,0,3,0,1, hennessey venom gt   thats one sexy bitch
3,0,3,0,1, him seh me pussy wetter then a shower curtainahmesehwetnessltlmao
3,0,3,0,1, eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
3,1,2,0,1," yo fuck skateboarding all yall some wood pushing faggots man ball is life 
"
3,0,1,2,2," baby monkey bathtime 
awwwwe this is soooo adorable"
3,0,3,0,1,  i aint shit  damn skippy lol
3,1,2,0,1, u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gtchance
3,0,3,0,1,    rings  mvps  bitches lol
3,1,2,0,1, ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn 
9,0,7,2,1, the facts on tattoostattoo  hes a pussy with not tattooing them nipples
3,0,3,0,1,  rt  bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches
3,0,3,0,1, get worshiping bitch  woof woof
3,1,2,0,1, wow rt  im lost are those buttcheek piercings  yeah shes a hoe
3,0,3,0,1, ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her
3,2,1,0,0,   queer gaywad
3,0,3,0,1,  faggot read my tweets after dat k it wasnt even funny lol
3,0,3,0,1, this bitch was so ungrateful  fr  lulwhore
3,0,3,0,1, i been kidnapped yo bitch
3,3,0,0,0,  alsarabsss hes a beaner smh you can tell hes a mexican
3,1,2,0,1,  happy birthday nigs thanks yo
6,1,5,0,1, when ur teacher tells u that u have homework  this bitch need to go
3,1,2,0,1,   that nigga was eating that hoe lol hell yea lol john paul nigga said john paul 
3,0,3,0,1, what would yall lil ugly bald headed bitches do if they stop making makeup amp weave
3,1,2,0,1, leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
3,0,3,0,1, going back to school sucks more dick than the hoes who attend it
3,0,3,0,1, on my way to fuck yo bitch  me as a  year old
3,0,3,0,1,  how come you never bring me food i dont have a car retard
3,0,3,0,1, if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like  prople
3,1,2,0,1, how bout them cowboys shutup pussy
3,0,3,0,1, lmaooooooooooo this nigga   ltbitch want likes for some depressing shitfoh
3,0,3,0,1,  girl you know i was spitting that g shit to you amp you was going lbvsbitch plz
3,0,3,0,1, let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again
3,0,2,1,1, harlem shake is just an excuse to go full retard for  seconds
3,0,3,0,1, amen miley   but she dont need to act like a hoe just bc shes emotionally damaged foh
3,0,3,0,1, having one loyal female is wayyyyy better than having hoes  idc 
3,0,3,0,1," pussy licking pussy meow meow stopwhitepeople  

"
3,0,3,0,1, check out our th man cowboysnation even with all those faggot ny fans in the stands
3,0,3,0,1, what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
3,0,3,0,1,  im the bitch okay nudes pat  wow
3,3,0,0,0,  youre fucking gay blacklisted hoe holding out for tehgodclan anyway 
3,0,3,0,1, the fuck be wrong with these bitches nobody knows
3,0,3,0,1, yall shut upp make me bitch
3,1,2,0,1, i hate a im pregnant type of bitch
3,0,3,0,1, got bitches in the dm but i dont ever readem which is y your top 
3,0,0,3,2, baseball season for the win yankees this is where the love started
3,0,3,0,1, little stupid as bitch i dont fuck with yoooooouuuu
3,0,3,0,1, she really asked me that dead ass serious tho all i could say was bitch wheet lol
3,0,0,3,2, im an early bird and im a night owl so im wise and have worms
3,0,1,2,2, overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day
3,0,0,3,2," pit bulls photographed as lovely fairy tale creatures 

they are fairy tale creatures"
3,0,3,0,1,  aw fag dont tweet aw to me lol
3,0,0,3,2, as long as the lakers trash from now on i could careless and thats real cc  hahaha
3,0,3,0,1,  i didnt say anything tho kiss me then faggot
3,0,0,3,2, this the i play soccer cheat on girls and wear khaki coloured cargos haircut   yup
3,0,3,0,1, i could go for a fat ass bitch on my lap same
3,0,3,0,1,  missed calls das yo po bitch twitter finna be screamn freemoneymelle
6,0,6,0,1, ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao 
3,0,3,0,1,    amo los pies  fuck yeah
3,0,3,0,1, these hoes be thinking meat wont slap they ass  ainna bruh
3,0,3,0,1, yall bitches wit no edges be doing the most talking 
3,0,3,0,1, yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit
3,0,3,0,1, i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
6,0,6,0,1, if she kiss u with her eyes open watch that bitchlmfao
3,0,3,0,1, you a woulda coulda shoulda ass hoe 
3,0,3,0,1, happy bday bitch ass nigga preciate that bitch roll up
3,0,3,0,1,   used to send that bitch up
6,0,6,0,1, ugly bitches be like im my own wcw duh bitch you aint nobody elses
3,1,2,0,1,  nigga you know we hacky sack hoes nah i throw no look passes lmao
3,1,2,0,1, glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em
3,0,1,2,2, this isnt ghettoits smart  im doing this idc
3,0,2,1,1, i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
3,0,3,0,1, being single isnt an excuse to be a hoe 
3,1,2,0,1, white boy power bitch black power bitch
3,0,3,0,1, lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill
3,0,3,0,1,  bitch where u been around the world and back where you been
3,0,3,0,1,  if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off  by  
3,0,2,1,1, oomf is soooo cute but he probably has hoes on him a lot
3,0,3,0,1, in every cartoon theirs alway a  saving these hoes lmao  lmao damn captain saveahoe
3,0,1,2,2, who wants to get there nose in these bad bois then scally chav sockfetish stinking  hot sox and legs
3,0,3,0,1, i wish i was a bitch like my brother keezy  ooooow i bet you do
6,0,6,0,1, if you dressed up as a cat for halloween you are basic or a pussy
4,0,4,0,1, can pornhub just get a gaming stream feature so these dumb bitches can gtfo  get on it katielt
3,0,3,0,1, stop being scared to choke her during sex u bitch ass niggas shell like it says the guy who hits women out of bed foh
3,0,3,0,1,  ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
6,0,6,0,1,  oh man its  am you off a molly ho where the fuck ya seed at fixed
3,0,3,0,1, youre not a man if you refer to every girl as a bitch
3,0,3,0,1, lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
3,0,1,2,2, peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash
