count,hate_speech_count,offensive_language_count,neither_count,class,tweet
3,0,3,0,1," 
i got a missed call from yo bitch"
3,0,3,0,1,rt  fucking with a bad bitch you gone need some money lil homie
3,0,1,2,2,rt   lol my credit aint no where near good  but i know the right man for the job  that ho nice though
3,0,3,0,1,rt  wipe the cum out of them faggot rt  contact lens is wildin cant see shit
3,1,2,0,1,niggas cheat on they bitch and dont expect no pay back whatsoever yall just as naive as these bitches
3,0,3,0,1,mother asked what i wanted for christmas this year replied with for her to not go crazy and my sister to not be a bitch
3,0,3,0,1,thats real dedication   this bitch got diarrhea and still here shitting up the bathroom
6,0,6,0,1,kiss imo this conductor its  am have some courtesy you bitch
6,0,6,0,1,my momma keep talking to me like bitch gtf im on twitter
3,0,3,0,1,rt  i kno this bitch a thot she wanna meet my momma now
6,0,6,0,1,like a bitch pic is flirting nowadays
3,2,0,1,0, what did you search gay redneck episode  play
3,0,3,0,1,halloweens over and bitches still playing roles
3,1,2,0,1,fucking queer
3,1,2,0,1,why bitches quick to have a nigga baby then be suprised when she taking care of it by herself
3,0,3,0,1,i stopped snapping on women and calling them bitches
3,2,1,0,0,  gotta love it when the islamofascist cow tries to make a retort about age typical muzzie idiocy
3,0,3,0,1,idgaf about you flat chested hoes feelings either you a grown ass man nigga
6,1,5,0,1,so yall give farwells to lulu yet did all but shit on kris ok bitches ok
3,0,0,3,2, their tortillas are trash though
6,0,6,0,1,rt  js met a lil bitch wit a long name mufucka had more letters den tennessee i go gorilla ina pussy rip
6,0,6,0,1,i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol
3,0,0,3,2,rt  jsu coach omar johnson its what u do against the ball u throw it hit it catch it doesnt matter if the yankees are 
9,1,8,0,1,i seen a nigga dressed to impress hop out da bus n a bitch wit a phatty get off at his stop too say somethingod throwin u da lob
3,0,3,0,1, or  hoes for everything 
3,0,3,0,1,if i had hair i would seriously go for a perm now genetics is a stone cold bitch
4,0,3,1,1,ima start friend zoning these hoes 
3,0,3,0,1,rt   what a shit heel
3,0,3,0,1,this bitch pregnant again 
3,0,3,0,1,rt  we dont want no skinny bitches get out we want big booty bitches
3,0,3,0,1,rt  your opinion of me is highly irrelevant bitch
3,0,3,0,1,rt  suck my dick bitch rt   not only are you terrible you are why hip hop is dead
3,0,3,0,1,rt  ugly bitches definitely disguste me  ewww yuck
3,0,2,1,1,this hoe taken by the world smh
3,0,3,0,1,rt  how to get unlimited pussy in high school 
3,0,3,0,1,rt  dont play games with a girl who can play better bitch
3,0,0,3,2,im just tryna get to sleep before the birds start getting rowdy
3,0,3,0,1,kiss imik this bitch just added another  seconds to her story i think its a new record
3,0,3,0,1,inde jus got me all hype at work i knew my bitch candace aint die
6,0,0,6,2, red and yellow it should be then
3,0,0,3,2,i for one welcome our new eastern panhandle overlords and hope they do a better job than the yokels who got us here in the first place
3,0,3,0,1, i love you too pussy lmaooo
3,0,3,0,1,  slide up on a bad bitchdat bitch look good
3,0,0,3,2, ling ling krunkchip
3,0,3,0,1, shes a dyke amp looks like shes 
3,0,3,0,1,rt  she used to be more fun as a hoe this new you is to positive
3,0,3,0,1,rt  no nigga ever ask before he hit either  body counts dont matter  yall treat all bitches the same anyway st
3,1,0,2,2, im a mud shark because i have black friends makes perfect sense  idiotic 
3,1,0,2,2,shylock amp wongs  incidents of democrat bigotry in  weeks  media mum  via 
3,0,3,0,1,smile at the bitches who hate you
3,0,3,0,1,see niggas they be mad and all these hoes go 
3,0,3,0,1, bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy
3,0,3,0,1,rt  niggas is hoes 
3,0,3,0,1,  my bitch do all that and still go out
3,2,1,0,0, you say waste a draft pick on manziel when we have mallet thats why im telling you to delete your account youre retarded
3,0,3,0,1, what to do after the gamehome alone and nothing to dosomeone come chill maybe go swimm ima do ya bitch
3,0,3,0,1,i be chillin wit the bitches cuz a lotta niccas fake
3,1,2,0,1,fuck her rite in the pussy
6,0,6,0,1,rt  when a bitch got you fucked up but you devoted your life to the lord so you gotta stand there like you aint mad 
3,0,3,0,1,rt   rt  shat rt  when deltas smell they own pussy 
3,0,3,0,1,rt  why would i be in a relationship theses hoes go still do them 
3,0,2,1,1,damn  its kinda trash man rt  how many of you actually have had a threesome honestly
3,0,3,0,1, not to yall thou yalll fucking glad bag trash
3,0,3,0,1,  yea its very true bitch
3,0,3,0,1,everybody fuckin everybody bitch everybody wit the shits thats lifee
3,0,2,1,1, thats shit gon be the death of these hoesion like it
3,0,0,3,2,rt  hun im quitting my job and going to learn to become a psychic now i know what youre thinking well not yet im going to
3,0,0,3,2,thursdays really been trash this season 
3,0,3,0,1,rt   screaming like a little bitch lmaooo
3,0,3,0,1, haha shit niggah i wish
3,0,3,0,1,nah we still up rt  all the flat booty bitches asleep yet or nah
3,1,2,0,1,get these hoe ass fuckboys off the stage vmas
3,0,1,2,2, have heard some hillbilly grumblings that bugs worse in recent years because of mic shutdown
3,2,1,0,0,rt  aight game over dykes had to ruin it 
3,0,3,0,1, yea cause i showed ya bitch ass
6,2,3,1,1,seeing elder queer couples marry really is emotional they get to live their final years with equality and with dignity
3,0,0,3,2,rt  gardy goes yardy again he leads off the game with a hr for the second straight night and its  yankees
3,0,1,2,2,kaaspietbloempietlol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet makenzolang maar blanke beslissing is
3,0,2,1,1,rt  yall hoes super weakkkkkkkk
6,1,5,0,1,you aint a real nigga without goal a to chase and a yellow bone bitch w some toes to paint
3,0,2,1,1,rt  oreos first you twist it then you aw crap it broke
3,0,3,0,1,you know what fuck that bitch and you didnt react girl its me and you
3,0,2,1,1,not us bitches 
3,0,2,1,1,them hoes look so clean on foot
3,0,3,0,1,rt  a real bitch know she gotta pluck dat nipple hair
3,0,3,0,1,rt  a lot of bitches like to gamble but not with money they put their emotions feelings and heart on the line
3,0,3,0,1,"

the far left looks the best if you ask me bitches try too hard just be yourself especially if youre thick"
3,2,1,0,0, thats not even a real word must have hit a blunt and started making up shit with your nigger ass lol
3,0,0,3,2,rt  actor charlie sheen once bought  seats at an angels baseball game in hopes of catching a home run ball
3,0,3,0,1,rt  all these girls saying nobody can put em up with em dont no nigga want a bitch as a girlfriend fix that shit
3,0,0,3,2,out of day care im taking a kitty nap on you hosers
3,2,1,0,0,niggas aint playin a gram of defense man george need to tell these bitch ass niggas man up
3,0,3,0,1, miss you bitch
3,0,1,2,2,  like i said i might have to check but im just not sure bird shot counts as getting shot
3,0,3,0,1,    alright then well in calling you a pussy also
3,0,3,0,1,rt  dese hoes aint loyal  walmart teamignant hoodcomedy flytv lolatl  bruh 
3,0,3,0,1,what mad cunt created masturbating that dude needs a high 
3,1,2,0,1,these hoes worried bout the wrong things in life
3,0,0,3,2,ff has been consistently one of marvels worst properties ultimate ff was good but the entire ultimate universe is now in the trash
3,0,3,0,1,rt  you left prom camping first day cause youre a bitch boy
3,0,3,0,1, i cant bitch
3,0,3,0,1,maybe i shoulda informed my cousin of my social anxiety before taking me to this over crowded bar on the bright side texas has hott bitches
3,0,3,0,1,nobody on planet earth more protective than bull dykes
3,0,3,0,1,rt  i didnt go wrong when i started talking to you i went wrong when i trusted your bitch ass
3,1,2,0,1, i heard your mama raised you like bitch
3,0,2,1,1,god damn birds
6,1,5,0,1, yo fag rojas
3,0,3,0,1,rt  im a bitch but a sweetheart u feel me
6,1,5,0,1,i just want the bad hoes and i wanna reach the children
3,0,3,0,1,nigga you is a fool   i feel like eatin nd beatin a pussy up 
3,0,3,0,1, nah gurl this pussy private 
3,0,3,0,1,i hate ratchet country hoes im ashamed
3,0,3,0,1,  bitch yo muthafukin ass reacting off that vain females tweet amp dont no the context her dumb ass dont neither
3,0,3,0,1, pussy
3,2,1,0,0,  well he is at genos so he is the ultimate faggot
3,0,3,0,1,rt   miss ya too nigger 
3,1,2,0,1,that hoe beefing over tunchi chillllll ouutttt
3,0,3,0,1,bout to put me some hoes on backpage  try my pimp hand out 
3,1,2,0,1,i just wanna slap a couple of yall bitches
3,0,3,0,1,"rt  sooner or later ya pussy gon tell
me the truth lets hope its not while im in it cause ima kill u"
3,0,3,0,1,the fuck does a yellow cloud do
3,0,3,0,1,  and i really be thuggin wtf i look like hanging around some lil chipotle jamba juice ass bitches like  
3,0,0,3,2,innout is like the sunshine and blue sky the song of a bird a smile at the front porch the perfume of the ocean on windkissed cheeks
3,0,3,0,1,life is a bitch but i appreciate her mayne
3,0,3,0,1, lol avila its simple but i live in a pretty redneck area so it never gets pronounced correctly
3,0,3,0,1, porn stars are  acceptable bro im was talking about these air mattress hoeslol
3,0,0,3,2, down  yankees look to rally in the bottom of the th rallycap
3,0,1,2,2,all these afternoon groups are trash besides the bubba keegs and furyk group thememorialtournament
3,0,3,0,1,notice i didnt tweet bytches bytch is different from bitch my logic and it werks
3,0,3,0,1, no shit you are what euros would call a typical american fat as fuck and goes to eat fast food all the time dumb bitch
3,0,3,0,1,only the strong survive and that nigga a pussy
3,0,2,1,1, sexy bitch
3,1,2,0,1,rt  faggot rt  i was in the club and there was this good lookin bitch she had gold teeth tho i was confused 
3,2,1,0,0,wish i coulda said more to  tonight good seeing you fag 
3,0,3,0,1,i got these  dominican hoes that randomly hit me up every so often amp cant tell if they like me or tryna rob me
3,0,0,3,2,   i dont hunt birds unless you count shooting dove out of season off my power line with a bb gun
3,0,0,3,2,"rt  rt if you like 
bmth
adtr
ptv
ymas
sws
atl
omampm
aa
miw
btf
wcar
mcr
afi
pe
bvb
wim
bc
ss
cte
nsn
gd
watic
aa
bfmv
fob
f"
3,0,3,0,1, dont make me draw you like one of my franch bitches heffa
3,0,2,1,1,alcoholdrunk hoe  i miss
6,4,2,0,0, i have never seen such ignorant illiterate pieces of shit in my life bring in natl guard amp disperse this trash 
3,0,3,0,1,"me complains about suburban white girls
suburban white girl youre a bitch
me ok u literally just proved my point"
3,0,3,0,1,rt  bitches tweeting relationship goals wno man job or real desire to stop being a hoe or partying every weekend jus a iph
3,1,2,0,1,  ill continue dis later ill be back bitch
3,0,3,0,1,paper over pussy cause pussy bring problems powerofthep
3,0,3,0,1,rt  ill be that bitch today
3,2,1,0,0,i hate when white trash try to act like theyre my equal it only makes it that much clearer how white trash they are
3,0,2,1,1, who else thinks lip biting is fucking sexy until that bitch bite too hard put a hoe out once for that
3,1,2,0,1,i remember when milz drunk ass fell asleep while we where all playing gears smh what a fag
3,0,3,0,1,rt  jackie weird  like bitch hang with ppl ya age
3,2,1,0,0,rt  lmaooo friday after next  you like that yo sons a fag
3,0,3,0,1,  lmaoooo beiber get these hoes wet big bro im tryna tell you
3,0,3,0,1,no lie tho im weak for a pretty bitch have me doing all type of shit that aint really me
3,0,3,0,1,all i want is a  million dollars and a bad bitch
3,0,3,0,1,milk marie she got pretty pussy call it pink cause a nigga fell in love with it
3,0,1,2,2,nah its overgt people dont tell artists what do to thats defies the definition of what we are trying to show youpeople retards game
3,0,3,0,1, kik is for hoesyou either gone shit or get off the pot
6,0,5,1,1, thats what i call a crash dummy hoe
3,0,3,0,1,rt  bitches jus love to get me madd
3,0,0,3,2,its gonna be a long season for the yankees if this simulation is right bluejays rays yankees orioles 
3,1,2,0,1,rt  trey songz reply to nicki minaj gtgtgtgt  that nigga spoke the truth on looking ass bitches lmao  i knew someone was gonna 
3,0,2,1,1, no bitch linda over kod
